"행정구역","2014년01월_남자인구수","2014년01월_여자인구수","2014년01월_계","2014년02월_남자인구수","2014년02월_여자인구수","2014년02월_계","2014년03월_남자인구수","2014년03월_여자인구수","2014년03월_계","2014년04월_남자인구수","2014년04월_여자인구수","2014년04월_계","2014년05월_남자인구수","2014년05월_여자인구수","2014년05월_계","2014년06월_남자인구수","2014년06월_여자인구수","2014년06월_계","2014년07월_남자인구수","2014년07월_여자인구수","2014년07월_계","2014년08월_남자인구수","2014년08월_여자인구수","2014년08월_계","2014년09월_남자인구수","2014년09월_여자인구수","2014년09월_계","2014년10월_남자인구수","2014년10월_여자인구수","2014년10월_계","2014년11월_남자인구수","2014년11월_여자인구수","2014년11월_계","2014년12월_남자인구수","2014년12월_여자인구수","2014년12월_계","2015년01월_남자인구수","2015년01월_여자인구수","2015년01월_계","2015년02월_남자인구수","2015년02월_여자인구수","2015년02월_계","2015년03월_남자인구수","2015년03월_여자인구수","2015년03월_계","2015년04월_남자인구수","2015년04월_여자인구수","2015년04월_계","2015년05월_남자인구수","2015년05월_여자인구수","2015년05월_계","2015년06월_남자인구수","2015년06월_여자인구수","2015년06월_계","2015년07월_남자인구수","2015년07월_여자인구수","2015년07월_계","2015년08월_남자인구수","2015년08월_여자인구수","2015년08월_계","2015년09월_남자인구수","2015년09월_여자인구수","2015년09월_계","2015년10월_남자인구수","2015년10월_여자인구수","2015년10월_계","2015년11월_남자인구수","2015년11월_여자인구수","2015년11월_계","2015년12월_남자인구수","2015년12월_여자인구수","2015년12월_계","2016년01월_남자인구수","2016년01월_여자인구수","2016년01월_계","2016년02월_남자인구수","2016년02월_여자인구수","2016년02월_계","2016년03월_남자인구수","2016년03월_여자인구수","2016년03월_계","2016년04월_남자인구수","2016년04월_여자인구수","2016년04월_계","2016년05월_남자인구수","2016년05월_여자인구수","2016년05월_계","2016년06월_남자인구수","2016년06월_여자인구수","2016년06월_계","2016년07월_남자인구수","2016년07월_여자인구수","2016년07월_계","2016년08월_남자인구수","2016년08월_여자인구수","2016년08월_계","2016년09월_남자인구수","2016년09월_여자인구수","2016년09월_계","2016년10월_남자인구수","2016년10월_여자인구수","2016년10월_계","2016년11월_남자인구수","2016년11월_여자인구수","2016년11월_계","2016년12월_남자인구수","2016년12월_여자인구수","2016년12월_계"
"전국  (1000000000)","18,190","17,424","35,614","19,782","18,737","38,519","19,358","18,507","37,865","19,316","18,252","37,568","19,004","17,806","36,810","17,924","16,978","34,902","18,830","17,731","36,561","18,101","16,967","35,068","19,670","18,927","38,597","19,660","18,972","38,632","16,346","15,688","32,034","18,986","18,042","37,028","18,821","17,966","36,787","18,232","17,568","35,800","21,210","20,166","41,376","19,723","18,497","38,220","19,199","17,938","37,137","19,052","18,236","37,288","18,912","17,822","36,734","18,442","17,426","35,868","17,888","16,838","34,726","20,206","19,143","39,349","17,717","17,130","34,847","18,310","17,656","35,966","17,194","16,348","33,542","18,821","18,012","36,833","19,661","18,657","38,318","17,930","17,273","35,203","18,685","17,936","36,621","17,118","16,265","33,383","16,527","15,632","32,159","18,674","17,776","36,450","17,582","16,836","34,418","16,753","15,878","32,631","16,200","15,665","31,865","15,651","14,785","30,436"
"서울특별시  (1100000000)","3,470","3,338","6,808","3,848","3,525","7,373","3,605","3,526","7,131","3,756","3,459","7,215","3,650","3,333","6,983","3,405","3,273","6,678","3,648","3,467","7,115","3,436","3,225","6,661","3,829","3,708","7,537","3,796","3,649","7,445","3,107","3,104","6,211","3,575","3,491","7,066","3,575","3,401","6,976","3,493","3,280","6,773","3,919","3,781","7,700","3,791","3,487","7,278","3,716","3,404","7,120","3,584","3,536","7,120","3,635","3,458","7,093","3,417","3,327","6,744","3,396","3,175","6,571","3,724","3,683","7,407","3,353","3,206","6,559","3,439","3,404","6,843","3,097","3,043","6,140","3,591","3,349","6,940","3,648","3,457","7,105","3,355","3,209","6,564","3,523","3,362","6,885","3,162","3,104","6,266","3,217","3,044","6,261","3,449","3,215","6,664","3,202","3,134","6,336","3,102","2,946","6,048","3,010","2,832","5,842","2,912","2,755","5,667"
"부산광역시  (2600000000)","1,123","1,013","2,136","1,117","1,139","2,256","1,203","993","2,196","1,188","1,048","2,236","1,164","1,073","2,237","1,086","986","2,072","1,131","1,083","2,214","1,087","1,095","2,182","1,202","1,207","2,409","1,145","1,136","2,281","1,007","912","1,919","1,175","1,099","2,274","1,117","1,044","2,161","1,094","1,046","2,140","1,269","1,234","2,503","1,125","1,178","2,303","1,226","1,029","2,255","1,103","1,083","2,186","1,147","1,071","2,218","1,151","1,031","2,182","1,161","1,047","2,208","1,258","1,144","2,402","1,113","1,030","2,143","1,173","1,105","2,278","1,076","977","2,053","1,164","1,176","2,340","1,255","1,151","2,406","1,111","1,084","2,195","1,089","1,041","2,130","1,085","983","2,068","981","891","1,872","1,127","1,115","2,242","1,085","1,009","2,094","1,002","1,022","2,024","997","1,021","2,018","953","900","1,853"
"대구광역시  (2700000000)","774","768","1,542","879","828","1,707","890","807","1,697","822","809","1,631","835","801","1,636","845","789","1,634","834","774","1,608","790","733","1,523","857","854","1,711","891","844","1,735","761","699","1,460","808","817","1,625","821","834","1,655","800","744","1,544","963","896","1,859","879","857","1,736","872","810","1,682","851","774","1,625","817","744","1,561","833","814","1,647","843","697","1,540","859","839","1,698","781","712","1,493","833","792","1,625","750","757","1,507","815","835","1,650","869","820","1,689","815","763","1,578","840","846","1,686","767","756","1,523","719","665","1,384","866","816","1,682","809","743","1,552","751","728","1,479","722","705","1,427","677","677","1,354"
"인천광역시  (2800000000)","1,055","974","2,029","1,197","1,089","2,286","1,171","1,089","2,260","1,175","1,094","2,269","1,124","1,050","2,174","1,069","961","2,030","1,086","1,065","2,151","1,084","979","2,063","1,157","1,154","2,311","1,186","1,088","2,274","1,009","956","1,965","1,147","1,156","2,303","1,065","959","2,024","1,115","1,069","2,184","1,169","1,152","2,321","1,173","1,046","2,219","1,119","1,013","2,132","1,106","1,048","2,154","1,106","1,062","2,168","1,064","1,013","2,077","1,068","961","2,029","1,247","1,109","2,356","1,005","988","1,993","1,055","994","2,049","960","958","1,918","1,107","1,060","2,167","1,130","1,055","2,185","1,018","1,032","2,050","1,086","1,118","2,204","954","865","1,819","1,046","884","1,930","1,053","1,047","2,100","993","1,003","1,996","970","929","1,899","932","951","1,883","856","858","1,714"
"광주광역시  (2900000000)","560","539","1,099","559","526","1,085","587","571","1,158","570","530","1,100","546","496","1,042","523","493","1,016","530","510","1,040","487","488","975","592","574","1,166","587","569","1,156","460","434","894","563","499","1,062","603","521","1,124","572","506","1,078","565","552","1,117","569","522","1,091","514","502","1,016","538","515","1,053","521","481","1,002","528","508","1,036","518","449","967","597","575","1,172","491","470","961","515","502","1,017","526","511","1,037","518","539","1,057","577","517","1,094","504","481","985","533","542","1,075","454","461","915","442","432","874","512","505","1,017","492","468","960","463","456","919","479","438","917","449","441","890"
"대전광역시  (3000000000)","583","575","1,158","666","593","1,259","610","572","1,182","637","594","1,231","624","592","1,216","565","540","1,105","580","561","1,141","595","539","1,134","633","565","1,198","656","549","1,205","522","511","1,033","637","555","1,192","615","571","1,186","573","532","1,105","712","624","1,336","594","620","1,214","617","562","1,179","581","587","1,168","646","554","1,200","555","546","1,101","537","503","1,040","631","594","1,225","552","564","1,116","584","489","1,073","511","460","971","551","524","1,075","599","595","1,194","582","519","1,101","554","487","1,041","555","507","1,062","534","476","1,010","571","536","1,107","560","537","1,097","528","522","1,050","474","473","947","451","471","922"
"울산광역시  (3100000000)","511","430","941","514","501","1,015","511","501","1,012","495","520","1,015","515","491","1,006","476","457","933","457","411","868","477","480","957","535","465","1,000","492","512","1,004","440","428","868","516","467","983","516","454","970","496","453","949","595","541","1,136","529","478","1,007","533","459","992","491","498","989","529","467","996","509","489","998","476","449","925","509","497","1,006","439","455","894","527","467","994","463","412","875","491","478","969","512","482","994","484","441","925","553","504","1,057","448","429","877","406","404","810","485","451","936","491","465","956","479","479","958","454","414","868","405","400","805"
"세종특별자치시  (3600000000)","47","44","91","47","51","98","52","52","104","54","44","98","47","59","106","49","57","106","41","56","97","70","50","120","67","66","133","74","62","136","69","60","129","75","50","125","87","75","162","95","86","181","110","100","210","115","79","194","125","96","221","109","136","245","123","119","242","119","107","226","124","114","238","131","116","247","134","106","240","132","146","278","133","120","253","155","124","279","158","140","298","141","136","277","135","152","287","139","123","262","140","131","271","159","136","295","125","151","276","158","146","304","112","132","244","136","145","281"
"경기도  (4100000000)","4,578","4,430","9,008","4,989","4,848","9,837","4,933","4,755","9,688","4,966","4,813","9,779","4,898","4,709","9,607","4,613","4,469","9,082","4,845","4,592","9,437","4,651","4,450","9,101","5,000","4,822","9,822","5,165","5,006","10,171","4,219","4,003","8,222","4,919","4,724","9,643","4,859","4,660","9,519","4,641","4,567","9,208","5,615","5,203","10,818","5,083","4,804","9,887","4,885","4,701","9,586","4,992","4,704","9,696","4,884","4,546","9,430","4,824","4,612","9,436","4,608","4,437","9,045","5,223","4,975","10,198","4,533","4,538","9,071","4,653","4,581","9,234","4,522","4,263","8,785","4,898","4,561","9,459","5,030","4,868","9,898","4,640","4,404","9,044","4,842","4,713","9,555","4,481","4,235","8,716","4,253","4,200","8,453","4,909","4,740","9,649","4,691","4,373","9,064","4,315","4,053","8,368","4,298","4,050","8,348","4,077","3,889","7,966"
