"행정구역","2008년01월_남자인구수","2008년01월_여자인구수","2008년01월_계","2008년02월_남자인구수","2008년02월_여자인구수","2008년02월_계","2008년03월_남자인구수","2008년03월_여자인구수","2008년03월_계","2008년04월_남자인구수","2008년04월_여자인구수","2008년04월_계","2008년05월_남자인구수","2008년05월_여자인구수","2008년05월_계","2008년06월_남자인구수","2008년06월_여자인구수","2008년06월_계","2008년07월_남자인구수","2008년07월_여자인구수","2008년07월_계","2008년08월_남자인구수","2008년08월_여자인구수","2008년08월_계","2008년09월_남자인구수","2008년09월_여자인구수","2008년09월_계","2008년10월_남자인구수","2008년10월_여자인구수","2008년10월_계","2008년11월_남자인구수","2008년11월_여자인구수","2008년11월_계","2008년12월_남자인구수","2008년12월_여자인구수","2008년12월_계","2009년01월_남자인구수","2009년01월_여자인구수","2009년01월_계","2009년02월_남자인구수","2009년02월_여자인구수","2009년02월_계","2009년03월_남자인구수","2009년03월_여자인구수","2009년03월_계","2009년04월_남자인구수","2009년04월_여자인구수","2009년04월_계","2009년05월_남자인구수","2009년05월_여자인구수","2009년05월_계","2009년06월_남자인구수","2009년06월_여자인구수","2009년06월_계","2009년07월_남자인구수","2009년07월_여자인구수","2009년07월_계","2009년08월_남자인구수","2009년08월_여자인구수","2009년08월_계","2009년09월_남자인구수","2009년09월_여자인구수","2009년09월_계","2009년10월_남자인구수","2009년10월_여자인구수","2009년10월_계","2009년11월_남자인구수","2009년11월_여자인구수","2009년11월_계","2009년12월_남자인구수","2009년12월_여자인구수","2009년12월_계","2010년01월_남자인구수","2010년01월_여자인구수","2010년01월_계","2010년02월_남자인구수","2010년02월_여자인구수","2010년02월_계","2010년03월_남자인구수","2010년03월_여자인구수","2010년03월_계","2010년04월_남자인구수","2010년04월_여자인구수","2010년04월_계","2010년05월_남자인구수","2010년05월_여자인구수","2010년05월_계","2010년06월_남자인구수","2010년06월_여자인구수","2010년06월_계","2010년07월_남자인구수","2010년07월_여자인구수","2010년07월_계","2010년08월_남자인구수","2010년08월_여자인구수","2010년08월_계","2010년09월_남자인구수","2010년09월_여자인구수","2010년09월_계","2010년10월_남자인구수","2010년10월_여자인구수","2010년10월_계","2010년11월_남자인구수","2010년11월_여자인구수","2010년11월_계","2010년12월_남자인구수","2010년12월_여자인구수","2010년12월_계"
"전국  (1000000000)","","","41,182","","","41,537","","","40,749","","","39,625","","","38,863","","","35,929","","","38,009","","","36,235","","","39,768","","","41,307","","","36,111","","","41,075","","","37,400","","","38,751","","","40,004","","","38,007","","","36,317","","","36,459","","","35,649","","","35,225","","","36,851","","","37,715","","","37,071","","","38,564","","","35,876","","","36,539","","","42,310","","","39,081","","","37,389","","","36,651","","","36,069","","","38,546","","","39,335","","","42,329","","","43,912","","","42,478"
"서울특별시  (1100000000)","","","8,005","","","8,618","","","8,338","","","8,137","","","8,051","","","7,398","","","7,823","","","7,394","","","8,115","","","8,523","","","7,376","","","8,463","","","7,480","","","7,859","","","7,986","","","7,697","","","7,471","","","7,272","","","7,474","","","7,121","","","7,471","","","7,592","","","7,585","","","8,021","","","7,157","","","7,389","","","8,409","","","7,952","","","7,536","","","7,403","","","7,290","","","7,559","","","7,648","","","8,430","","","8,717","","","8,590"
"부산광역시  (2600000000)","","","2,335","","","2,296","","","2,303","","","2,219","","","2,253","","","2,005","","","2,127","","","2,108","","","2,284","","","2,328","","","2,142","","","2,359","","","2,096","","","2,165","","","2,284","","","2,057","","","2,105","","","2,090","","","2,000","","","1,997","","","2,128","","","2,164","","","2,086","","","2,166","","","1,968","","","2,095","","","2,363","","","2,206","","","2,214","","","2,063","","","2,059","","","2,269","","","2,346","","","2,519","","","2,620","","","2,506"
"대구광역시  (2700000000)","","","1,816","","","1,870","","","1,773","","","1,752","","","1,715","","","1,611","","","1,669","","","1,577","","","1,718","","","1,795","","","1,611","","","1,773","","","1,605","","","1,656","","","1,655","","","1,692","","","1,585","","","1,592","","","1,601","","","1,535","","","1,614","","","1,684","","","1,628","","","1,609","","","1,477","","","1,567","","","1,855","","","1,707","","","1,641","","","1,660","","","1,550","","","1,688","","","1,738","","","1,893","","","1,961","","","1,749"
"인천광역시  (2800000000)","","","2,169","","","2,215","","","2,229","","","2,229","","","2,119","","","1,956","","","2,059","","","1,980","","","2,128","","","2,216","","","2,037","","","2,228","","","2,120","","","2,106","","","2,177","","","2,162","","","2,029","","","1,976","","","1,932","","","1,875","","","2,033","","","2,054","","","1,992","","","2,103","","","2,007","","","1,977","","","2,339","","","2,167","","","2,051","","","1,976","","","1,994","","","2,109","","","2,228","","","2,250","","","2,384","","","2,276"
"광주광역시  (2900000000)","","","1,280","","","1,248","","","1,221","","","1,169","","","1,134","","","1,050","","","1,107","","","1,075","","","1,182","","","1,197","","","1,021","","","1,172","","","1,143","","","1,159","","","1,214","","","1,082","","","1,056","","","1,081","","","1,003","","","1,000","","","1,085","","","1,137","","","1,083","","","1,134","","","1,015","","","1,087","","","1,258","","","1,183","","","1,172","","","1,056","","","971","","","1,179","","","1,134","","","1,254","","","1,330","","","1,208"
"대전광역시  (3000000000)","","","1,361","","","1,327","","","1,250","","","1,231","","","1,252","","","1,183","","","1,229","","","1,167","","","1,224","","","1,328","","","1,082","","","1,240","","","1,236","","","1,195","","","1,280","","","1,149","","","1,015","","","1,105","","","1,099","","","1,116","","","1,195","","","1,201","","","1,150","","","1,155","","","1,123","","","1,127","","","1,308","","","1,177","","","1,128","","","1,107","","","1,095","","","1,144","","","1,171","","","1,314","","","1,285","","","1,264"
"울산광역시  (3100000000)","","","959","","","999","","","962","","","955","","","933","","","875","","","979","","","896","","","978","","","1,043","","","897","","","988","","","905","","","972","","","997","","","906","","","886","","","922","","","891","","","845","","","921","","","930","","","916","","","929","","","906","","","847","","","1,074","","","901","","","893","","","830","","","860","","","991","","","924","","","1,076","","","1,047","","","1,106"
"경기도  (4100000000)","","","10,481","","","10,708","","","10,373","","","10,144","","","9,995","","","9,181","","","9,740","","","9,294","","","10,182","","","10,635","","","9,146","","","10,568","","","9,296","","","9,949","","","10,243","","","9,720","","","9,252","","","9,318","","","9,067","","","8,980","","","9,385","","","9,703","","","9,389","","","9,785","","","9,034","","","9,462","","","10,781","","","9,903","","","9,565","","","9,423","","","9,333","","","9,982","","","10,275","","","11,091","","","11,501","","","11,251"
"강원도  (4200000000)","","","1,169","","","1,133","","","1,132","","","1,025","","","960","","","947","","","1,048","","","961","","","1,052","","","1,101","","","924","","","1,072","","","1,070","","","1,041","","","1,095","","","1,090","","","925","","","993","","","959","","","943","","","975","","","1,011","","","1,049","","","1,028","","","989","","","978","","","1,154","","","1,075","","","976","","","1,030","","","964","","","1,042","","","1,017","","","1,067","","","1,113","","","1,116"
