,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2021년 10월 24일,2,40,95,21,65,59,82,66,901,2,56,54,29,104,253,157,764
2021년 10월 23일,2,40,95,21,65,59,82,66,893,1,56,54,29,103,252,155,756
2021년 10월 22일,2,39,95,21,65,59,81,66,888,1,56,54,29,102,250,155,746
2021년 10월 21일,2,39,94,21,65,59,81,66,881,1,56,54,29,100,249,155,741
2021년 10월 20일,2,39,93,21,65,59,81,66,877,1,56,53,29,99,249,155,737
2021년 10월 19일,2,39,93,21,65,58,81,66,874,1,56,53,29,99,249,155,732
2021년 10월 18일,2,39,91,21,65,58,81,66,869,1,56,52,29,99,247,155,721
2021년 10월 17일,2,38,91,21,65,58,81,66,866,1,56,52,29,99,247,155,717
2021년 10월 16일,2,38,91,21,65,58,81,66,860,1,56,52,29,98,246,155,709
2021년 10월 15일,2,38,91,21,65,58,81,64,853,1,56,52,29,96,246,155,702
2021년 10월 14일,2,38,91,21,64,58,80,64,851,1,56,51,29,96,245,155,701
2021년 10월 13일,2,38,91,21,64,58,80,64,845,1,56,51,29,94,245,155,696
2021년 10월 12일,2,37,91,21,64,58,79,64,841,1,56,50,29,92,245,155,694
2021년 10월 11일,2,37,91,21,64,58,79,64,837,1,56,50,29,91,245,155,688
2021년 10월 10일,2,37,91,21,64,58,79,64,834,1,56,50,29,91,245,155,683
2021년 10월 09일,2,37,91,21,62,58,79,63,829,1,56,50,29,91,243,155,678
2021년 10월 08일,2,37,91,21,62,58,79,63,827,1,56,50,29,91,243,155,674
2021년 10월 07일,2,37,91,21,62,58,79,63,823,1,56,49,29,91,243,155,669
2021년 10월 06일,2,37,91,21,61,58,79,63,821,1,55,49,29,90,243,155,666
2021년 10월 05일,2,37,91,21,61,58,78,63,815,1,55,49,29,90,242,155,662
2021년 10월 04일,2,37,91,21,61,58,78,63,811,1,55,49,29,89,242,155,656
2021년 10월 03일,2,37,91,21,61,58,78,63,808,1,55,48,29,88,242,155,655
2021년 10월 02일,2,37,91,21,61,58,78,63,807,1,55,48,29,88,242,155,653
2021년 10월 01일,2,37,91,21,61,57,78,63,806,1,55,47,29,88,242,155,649
2021년 09월 30일,2,37,91,21,61,56,77,62,803,1,52,46,29,88,242,155,643
2021년 09월 29일,2,37,91,21,61,56,77,62,800,1,52,46,29,88,242,155,639
2021년 09월 28일,2,36,91,21,61,56,77,62,798,1,52,45,29,87,242,155,635
2021년 09월 27일,2,36,91,21,61,56,76,62,795,1,52,44,29,86,242,155,633
2021년 09월 26일,2,36,91,21,61,56,75,62,794,1,49,44,29,86,242,155,632
2021년 09월 25일,2,36,91,21,60,56,74,62,790,1,48,44,29,86,242,155,630
2021년 09월 24일,2,36,90,20,60,56,74,62,789,1,48,44,29,85,242,155,627
2021년 09월 23일,2,36,90,20,60,56,74,62,789,1,46,44,29,84,240,155,625
2021년 09월 22일,2,36,90,20,60,56,74,62,786,1,46,44,29,84,239,155,621
2021년 09월 21일,2,36,90,20,60,56,74,62,785,1,46,44,29,83,238,153,620
2021년 09월 20일,2,36,90,20,60,56,74,62,784,1,46,44,29,83,237,153,618
2021년 09월 19일,2,36,89,20,60,56,74,62,784,1,46,44,29,82,236,153,617
2021년 09월 18일,2,36,89,20,60,55,74,62,780,1,45,43,29,82,234,153,616
2021년 09월 17일,2,36,89,20,60,55,74,62,778,1,45,43,29,82,233,153,614
2021년 09월 16일,2,36,89,20,60,55,74,62,777,1,45,42,29,82,232,153,614
2021년 09월 15일,2,36,89,20,60,55,74,62,775,1,44,42,28,82,232,153,612
2021년 09월 14일,2,36,89,20,60,55,74,61,772,1,43,41,27,81,231,153,608
2021년 09월 13일,2,36,89,20,60,55,74,61,768,1,43,41,27,80,230,153,607
2021년 09월 12일,2,36,89,19,60,55,74,61,768,1,43,41,27,80,230,153,607
2021년 09월 11일,2,36,89,19,60,55,74,61,767,1,43,41,27,80,230,153,607
2021년 09월 10일,2,36,89,19,60,55,74,61,764,1,42,40,26,80,230,153,603
2021년 09월 09일,2,36,89,19,60,55,74,61,763,1,42,40,26,80,230,153,599
2021년 09월 08일,2,35,89,19,60,55,74,61,761,1,42,39,25,80,229,152,597
2021년 09월 07일,2,34,89,19,60,55,74,61,760,1,42,39,25,80,229,152,595
2021년 09월 06일,2,34,89,19,60,55,74,61,759,1,42,39,25,80,229,152,593
2021년 09월 05일,2,34,89,19,60,55,74,60,757,1,42,39,25,79,229,151,592
2021년 09월 04일,2,34,89,19,60,55,73,60,755,1,42,39,25,78,229,151,590
2021년 09월 03일,2,34,89,19,60,55,73,60,754,1,42,38,25,77,228,150,588
2021년 09월 02일,2,33,89,19,60,55,73,60,753,1,42,36,25,77,228,150,587
2021년 09월 01일,2,31,88,19,60,55,73,59,750,1,42,36,25,77,228,149,584
2021년 08월 31일,2,31,88,19,60,55,73,59,747,1,41,36,25,77,227,148,583
2021년 08월 30일,2,31,88,19,60,55,73,59,747,1,41,36,25,77,227,148,582
2021년 08월 29일,2,31,88,19,60,53,73,59,745,1,41,36,25,77,227,148,581
2021년 08월 28일,2,31,88,19,60,53,73,59,743,1,41,36,25,76,227,148,581
2021년 08월 27일,2,31,88,19,60,52,73,59,740,1,41,36,25,75,225,146,579
2021년 08월 26일,2,30,88,19,60,52,72,59,737,1,41,36,25,75,225,144,578
2021년 08월 25일,2,30,88,19,60,51,72,59,730,1,41,34,25,73,225,139,575
2021년 08월 24일,2,30,88,19,60,51,72,59,726,1,41,34,25,73,224,136,574
2021년 08월 23일,1,30,88,19,60,50,72,58,724,1,41,34,25,73,224,136,573
2021년 08월 22일,1,28,88,19,60,50,72,58,721,1,41,34,25,73,224,136,571
2021년 08월 21일,1,27,88,19,60,49,72,58,716,1,41,34,25,73,223,135,567
2021년 08월 20일,1,26,88,19,60,49,72,58,715,1,41,33,25,73,223,134,566
2021년 08월 19일,1,26,88,19,60,47,71,58,715,1,41,33,24,73,223,134,564
2021년 08월 18일,1,26,88,19,60,46,71,58,710,1,41,33,24,72,223,131,561
