,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,서울
2021년 03월 05일,1,13,71,8,55,35,58,42,500,1,37,15,21,53,214,108,391
2021년 03월 04일,1,13,71,8,55,35,58,41,496,1,37,15,21,53,214,108,388
2021년 03월 03일,1,12,71,8,55,35,58,41,494,1,37,15,21,52,214,108,385
2021년 03월 02일,1,12,71,8,55,35,58,41,493,1,37,15,21,52,213,108,381
2021년 03월 01일,1,11,71,8,55,35,58,41,493,1,37,15,21,52,213,108,381
2021년 02월 28일,1,11,71,8,55,35,58,41,492,1,37,15,21,52,213,108,380
2021년 02월 27일,1,11,71,8,55,35,58,41,487,1,37,15,21,52,213,108,378
2021년 02월 26일,1,10,71,8,55,35,58,41,484,1,37,15,21,52,213,105,375
2021년 02월 25일,1,10,71,8,55,35,58,41,482,1,37,15,21,52,213,105,373
2021년 02월 24일,1,10,71,8,54,35,58,41,481,1,37,15,20,52,213,104,372
2021년 02월 23일,1,10,70,8,54,35,58,41,480,1,37,15,20,52,213,104,371
2021년 02월 22일,1,10,70,8,54,35,58,38,477,1,37,15,19,52,213,102,369
2021년 02월 21일,1,10,70,8,54,34,58,38,477,1,37,15,19,52,213,102,365
2021년 02월 20일,1,10,70,8,54,34,58,37,474,1,37,15,19,52,213,102,365
2021년 02월 19일,1,10,70,8,54,34,58,37,473,1,37,15,19,52,212,102,364
2021년 02월 18일,1,10,70,8,54,34,58,36,471,1,37,15,19,52,212,101,362
2021년 02월 17일,1,10,70,8,54,33,58,36,470,1,37,15,19,51,211,101,360
2021년 02월 16일,1,10,70,8,53,33,58,36,468,1,37,15,19,51,211,101,359
2021년 02월 15일,1,10,70,7,53,33,57,36,466,1,37,15,19,51,211,101,356
2021년 02월 14일,1,10,70,7,53,33,57,36,463,1,37,15,19,51,211,100,355
2021년 02월 13일,1,10,70,7,53,33,57,35,459,1,37,15,19,51,211,100,352
2021년 02월 12일,1,10,70,7,53,33,57,34,456,1,37,15,19,51,211,98,351
2021년 02월 11일,1,10,70,7,52,33,57,34,451,1,37,15,19,51,211,97,347
2021년 02월 10일,0,10,70,7,51,33,57,34,448,1,37,15,19,51,211,96,343
2021년 02월 09일,0,10,70,7,51,33,57,34,446,1,37,15,19,51,211,96,341
2021년 02월 08일,0,10,70,7,51,33,57,33,442,1,37,14,19,51,211,96,339
2021년 02월 07일,0,10,70,7,50,33,57,33,442,1,37,14,19,51,210,96,338
2021년 02월 06일,0,10,70,7,50,33,57,33,440,1,37,14,19,51,210,96,333
2021년 02월 05일,0,10,70,7,50,33,55,33,439,1,37,14,18,51,210,96,332
2021년 02월 04일,0,10,68,7,50,33,55,33,434,1,37,14,18,51,210,95,329
2021년 02월 03일,0,10,68,7,50,33,55,33,432,1,36,14,18,50,209,95,327
2021년 02월 02일,0,10,68,7,50,33,55,33,429,1,36,13,18,50,209,94,326
2021년 02월 01일,0,9,68,7,47,33,55,32,426,1,36,13,18,50,208,94,325
2021년 01월 31일,0,9,68,7,46,33,55,32,425,1,36,13,18,50,207,93,324
2021년 01월 30일,0,9,67,7,45,33,55,32,425,1,36,13,17,48,207,93,323
2021년 01월 29일,0,9,66,7,44,33,54,30,422,1,36,13,17,48,207,92,317
2021년 01월 28일,0,9,66,6,44,33,53,30,418,1,36,13,17,48,207,91,311
2021년 01월 27일,0,9,65,6,44,33,53,30,418,1,36,13,17,47,207,89,307
2021년 01월 26일,0,9,65,6,42,33,53,30,417,1,36,13,16,47,207,89,304
2021년 01월 25일,0,7,64,6,42,33,53,30,414,1,36,13,16,46,207,88,301
2021년 01월 24일,0,7,64,6,42,32,52,30,410,1,36,13,16,46,206,88,297
2021년 01월 23일,0,7,64,6,42,32,51,29,407,1,36,12,15,45,206,87,294
2021년 01월 22일,0,7,64,6,41,31,50,29,405,1,36,12,15,45,206,87,290
2021년 01월 21일,0,7,64,6,41,31,48,29,403,1,36,12,14,44,206,86,285
2021년 01월 20일,0,7,64,6,40,30,47,28,399,1,36,12,14,44,206,85,279
2021년 01월 19일,0,7,64,6,34,30,46,27,393,1,36,12,13,44,206,85,277
2021년 01월 18일,0,7,64,6,34,30,44,25,389,1,36,12,12,42,205,84,271
2021년 01월 17일,0,7,64,6,34,30,41,24,384,1,36,12,12,42,205,84,265
2021년 01월 16일,0,7,64,6,33,29,38,24,380,1,36,12,12,42,204,84,262
2021년 01월 15일,0,7,63,6,30,28,38,24,376,1,36,12,12,41,204,83,254
2021년 01월 14일,0,6,63,6,30,28,37,24,367,1,34,11,10,40,203,81,252
2021년 01월 13일,0,6,62,6,30,28,37,23,364,1,34,11,10,40,203,78,250
2021년 01월 12일,0,6,62,6,26,28,37,21,357,1,33,10,10,38,203,77,248
2021년 01월 11일,0,6,62,6,26,27,36,20,350,1,32,10,10,37,203,74,238
2021년 01월 10일,0,5,62,6,26,27,36,20,345,1,32,10,10,36,203,74,230
2021년 01월 09일,0,5,62,6,24,27,36,18,335,1,32,10,9,36,203,71,223
2021년 01월 08일,0,5,62,6,22,27,35,18,326,1,32,8,9,34,203,68,223
2021년 01월 07일,0,5,62,6,21,25,34,17,312,1,32,7,8,34,203,64,213
2021년 01월 06일,0,5,62,6,21,25,33,17,304,1,31,7,7,33,203,63,207
2021년 01월 05일,0,5,62,6,18,25,32,17,295,1,31,7,7,32,203,60,204
2021년 01월 04일,0,5,62,5,16,25,28,17,292,1,30,7,7,30,203,58,193
2021년 01월 03일,0,5,62,5,13,24,28,15,286,1,29,7,7,30,202,57,189
2021년 01월 02일,0,5,62,5,11,24,28,13,281,1,27,7,6,29,202,53,186
2021년 01월 01일,0,4,62,5,11,23,24,13,271,1,26,7,6,29,201,50,182
2020년 12월 31일,0,4,61,5,11,23,23,13,263,1,26,7,6,27,201,50,177
2020년 12월 30일,0,4,61,5,11,22,23,13,253,1,26,7,6,26,201,46,172
2020년 12월 29일,0,4,61,5,11,22,21,13,242,1,26,7,6,25,201,45,167
2020년 12월 28일,0,4,61,5,8,22,20,13,221,0,26,7,6,24,201,40,159
2020년 12월 27일,0,4,61,5,8,22,20,13,217,0,25,6,5,24,201,38,157
2020년 12월 26일,0,4,61,5,8,22,19,13,212,0,24,6,5,23,201,34,155
2020년 12월 25일,0,3,61,5,8,22,18,13,207,0,24,6,4,21,201,31,148
2020년 12월 24일,0,3,61,5,7,21,15,13,201,0,22,6,4,21,200,29,147
2020년 12월 23일,0,3,61,5,7,20,15,13,191,0,20,6,4,20,200,28,145
2020년 12월 22일,0,3,61,5,7,19,15,13,181,0,17,6,3,19,200,28,144
2020년 12월 21일,0,3,61,5,7,18,13,13,173,0,16,6,3,15,200,28,136
2020년 12월 20일,0,2,60,5,6,17,11,13,164,0,14,6,3,15,200,27,130
2020년 12월 19일,0,2,60,5,5,17,9,13,155,0,14,6,3,14,200,27,128
2020년 12월 18일,0,2,59,4,4,16,7,13,153,0,11,6,3,14,200,26,126
2020년 12월 17일,0,2,59,4,4,15,7,13,151,0,8,6,3,14,200,22,125
2020년 12월 16일,0,2,59,4,3,13,4,12,144,0,6,6,3,14,200,21,120
2020년 12월 15일,0,2,59,4,2,13,4,12,138,0,6,6,3,14,200,21,115
2020년 12월 14일,0,2,59,4,2,11,3,12,135,0,4,6,3,13,200,20,112
2020년 12월 13일,0,2,58,4,2,10,3,12,135,0,4,6,3,12,200,19,109
2020년 12월 12일,0,2,58,4,2,10,3,11,134,0,4,6,3,12,200,19,109
2020년 12월 11일,0,2,57,4,2,10,3,11,133,0,4,6,3,12,200,18,106
2020년 12월 10일,0,1,57,4,2,10,3,10,130,0,2,6,3,12,200,18,105
2020년 12월 09일,0,1,57,2,2,10,3,10,127,0,2,6,3,11,200,16,105
2020년 12월 08일,0,1,57,2,2,10,3,9,126,0,2,6,3,11,200,16,104
2020년 12월 07일,0,1,57,2,2,10,3,9,125,0,2,6,3,11,200,16,102
2020년 12월 06일,0,1,57,2,2,10,3,8,123,0,2,6,3,11,200,16,101
2020년 12월 05일,0,1,57,2,2,10,3,6,121,0,2,6,3,11,200,16,100
2020년 12월 04일,0,1,57,2,2,10,3,6,120,0,2,6,3,11,200,16,97
2020년 12월 03일,0,1,57,2,2,9,3,6,116,0,2,6,3,11,200,16,95
2020년 12월 02일,0,1,57,2,2,9,3,6,116,0,2,6,3,11,199,16,93
2020년 12월 01일,0,1,57,2,2,9,3,6,116,0,2,6,3,11,199,16,93
2020년 11월 30일,0,1,57,2,2,9,3,6,116,0,2,6,3,11,199,16,93
2020년 11월 29일,0,1,57,2,2,8,3,6,116,0,2,6,3,11,199,15,92
2020년 11월 28일,0,1,57,2,2,8,3,6,116,0,2,6,3,11,199,15,91
2020년 11월 27일,0,1,57,2,2,8,3,6,113,0,2,6,3,11,199,15,88
2020년 11월 26일,0,1,57,2,2,8,3,6,112,0,2,6,3,11,199,15,88
2020년 11월 25일,0,1,57,2,2,8,3,6,111,0,2,6,3,11,199,15,87
2020년 11월 24일,0,1,57,2,1,8,3,6,110,0,2,6,3,11,198,15,87
2020년 11월 23일,0,1,57,2,1,8,3,6,110,0,2,6,3,11,198,15,86
2020년 11월 22일,0,0,57,2,1,8,3,5,110,0,2,6,3,11,197,15,85
2020년 11월 21일,0,0,57,2,1,8,3,5,108,0,2,6,3,11,197,15,85
2020년 11월 20일,0,0,57,2,1,8,3,5,108,0,2,6,3,11,196,15,84
2020년 11월 19일,0,0,57,2,1,8,3,5,106,0,2,6,3,11,196,15,83
2020년 11월 18일,0,0,57,2,1,8,3,5,105,0,2,6,3,11,196,15,82
2020년 11월 17일,0,0,57,2,1,8,3,4,105,0,2,6,3,11,196,15,81
2020년 11월 16일,0,0,57,2,1,8,3,4,105,0,2,6,3,11,196,15,81
2020년 11월 15일,0,0,57,2,1,8,3,4,104,0,2,6,3,11,196,15,81
2020년 11월 14일,0,0,57,2,1,8,3,4,104,0,2,6,3,11,196,15,80
2020년 11월 13일,0,0,57,2,1,8,3,3,102,0,2,6,3,11,196,15,79
2020년 11월 12일,0,0,57,2,1,8,3,3,101,0,2,6,3,11,196,15,79
2020년 11월 11일,0,0,57,2,1,8,3,3,101,0,2,6,3,11,196,15,79
2020년 11월 10일,0,0,57,2,1,8,3,3,99,0,2,6,3,11,196,15,79
2020년 11월 09일,0,0,57,2,1,8,3,3,96,0,2,6,3,11,196,14,78
2020년 11월 08일,0,0,57,2,1,8,3,3,95,0,2,6,3,11,196,13,78
2020년 11월 07일,0,0,57,2,1,8,3,3,94,0,2,6,3,11,196,13,78
2020년 11월 06일,0,0,57,2,1,8,3,3,93,0,2,6,3,11,196,13,78
2020년 11월 05일,0,0,57,2,1,8,3,3,92,0,2,6,3,11,196,13,78
2020년 11월 04일,0,0,57,2,1,8,3,3,91,0,2,6,3,11,196,13,78
2020년 11월 03일,0,0,57,2,1,8,3,3,91,0,2,6,3,11,196,11,78
2020년 11월 02일,0,0,57,2,0,8,2,3,90,0,2,6,3,11,196,10,78
2020년 11월 01일,0,0,57,2,0,8,2,3,89,0,2,6,3,11,196,9,78
2020년 10월 31일,0,0,57,2,0,8,2,3,89,0,2,6,3,10,196,8,78
2020년 10월 30일,0,0,57,2,0,8,2,3,89,0,2,6,3,10,196,7,78
2020년 10월 29일,0,0,57,2,0,8,2,3,89,0,2,6,3,9,196,7,78
2020년 10월 28일,0,0,57,2,0,8,2,3,89,0,2,6,3,9,196,7,77
2020년 10월 27일,0,0,57,2,0,8,2,3,89,0,2,6,3,9,196,7,76
2020년 10월 26일,0,0,57,2,0,8,2,3,89,0,2,5,3,9,196,7,74
2020년 10월 25일,0,0,57,2,0,8,2,3,89,0,2,5,3,9,196,7,74
2020년 10월 24일,0,0,57,2,0,8,2,3,89,0,2,5,3,9,196,7,74
2020년 10월 23일,0,0,57,2,0,7,2,3,88,0,2,5,3,9,196,7,74
2020년 10월 22일,0,0,56,2,0,7,2,3,88,0,2,5,3,9,196,6,74
2020년 10월 21일,0,0,56,2,0,7,2,3,88,0,2,5,3,9,196,6,71
2020년 10월 20일,0,0,56,2,0,7,2,3,87,0,2,5,3,9,196,6,69
2020년 10월 19일,0,0,56,2,0,7,1,3,86,0,2,5,3,8,196,6,69
2020년 10월 18일,0,0,56,2,0,7,1,3,86,0,2,5,3,8,196,6,69
2020년 10월 17일,0,0,56,2,0,7,1,3,86,0,2,5,3,8,196,6,68
2020년 10월 16일,0,0,56,2,0,6,1,3,86,0,2,5,3,8,196,6,67
2020년 10월 15일,0,0,56,2,0,6,1,3,86,0,2,5,3,8,196,5,66
2020년 10월 14일,0,0,56,2,0,6,1,3,86,0,2,5,3,8,196,4,66
2020년 10월 13일,0,0,56,2,0,6,1,3,83,0,2,5,3,8,196,4,65
2020년 10월 12일,0,0,56,2,0,6,1,3,83,0,2,5,3,8,196,4,64
2020년 10월 11일,0,0,56,2,0,6,1,3,82,0,2,5,3,8,196,4,64
2020년 10월 10일,0,0,56,2,0,6,1,3,81,0,2,5,3,8,196,4,63
2020년 10월 09일,0,0,56,2,0,6,1,3,80,0,2,5,3,8,196,4,62
2020년 10월 08일,0,0,56,2,0,6,1,3,80,0,2,4,3,8,196,4,62
2020년 10월 07일,0,0,56,2,0,6,1,3,79,0,2,4,3,8,196,4,61
2020년 10월 06일,0,0,56,2,0,6,1,3,77,0,2,4,3,8,195,4,61
2020년 10월 05일,0,0,56,2,0,6,1,3,77,0,2,4,3,8,195,4,61
2020년 10월 04일,0,0,56,2,0,6,1,3,77,0,2,4,3,8,195,4,60
2020년 10월 03일,0,0,56,2,0,6,1,3,77,0,2,4,3,8,195,4,59
2020년 10월 02일,0,0,56,2,0,6,1,3,75,0,2,4,3,8,195,4,57
2020년 10월 01일,0,0,56,2,0,6,1,3,74,0,2,4,3,8,195,4,57
2020년 09월 30일,0,0,56,2,0,6,1,3,74,0,2,4,3,8,194,4,56
2020년 09월 29일,0,0,55,1,0,5,1,3,73,0,2,4,3,8,194,4,54
2020년 09월 28일,0,0,55,1,0,5,1,3,72,0,2,4,3,8,194,4,54
2020년 09월 27일,0,0,55,1,0,4,1,3,70,0,2,3,3,8,194,4,53
2020년 09월 26일,0,0,55,0,0,4,1,3,69,0,2,3,3,8,194,4,53
2020년 09월 25일,0,0,55,0,0,3,1,3,68,0,2,3,3,8,193,4,52
2020년 09월 24일,0,0,55,0,0,3,1,3,68,0,2,3,3,8,193,4,50
2020년 09월 23일,0,0,55,0,0,2,1,3,65,0,2,3,3,8,193,4,49
2020년 09월 22일,0,0,55,0,0,2,1,3,65,0,2,3,3,8,193,4,49
2020년 09월 21일,0,0,55,0,0,2,1,3,63,0,2,3,3,8,193,4,48
2020년 09월 20일,0,0,55,0,0,2,1,3,62,0,2,3,3,8,193,4,47
2020년 09월 19일,0,0,55,0,0,2,1,3,59,0,2,3,3,8,192,4,46
2020년 09월 18일,0,0,55,0,0,2,1,3,59,0,1,3,3,8,192,4,46
2020년 09월 17일,0,0,55,0,0,2,1,3,58,0,1,3,3,7,192,4,43
2020년 09월 16일,0,0,54,0,0,2,1,3,56,0,1,3,3,6,192,4,42
2020년 09월 15일,0,0,54,0,0,2,1,3,56,0,1,3,3,6,192,4,42
2020년 09월 14일,0,0,54,0,0,2,1,3,56,0,1,3,3,5,191,4,40
2020년 09월 13일,0,0,54,0,0,2,1,3,55,0,1,3,3,3,191,4,38
2020년 09월 12일,0,0,54,0,0,2,1,3,55,0,1,3,3,3,191,4,35
2020년 09월 11일,0,0,54,0,0,1,1,3,53,0,1,3,2,3,191,4,34
2020년 09월 10일,0,0,54,0,0,1,1,3,51,0,1,3,2,3,191,4,32
2020년 09월 09일,0,0,54,0,0,1,1,3,49,0,1,3,2,3,191,4,32
2020년 09월 08일,0,0,54,0,0,1,1,3,46,0,1,3,2,3,191,4,32
2020년 09월 07일,0,0,54,0,0,1,1,3,45,0,1,3,2,3,191,4,28
2020년 09월 06일,0,0,54,0,0,1,1,3,45,0,1,3,2,3,191,4,26
2020년 09월 05일,0,0,54,0,0,1,1,3,45,0,1,3,2,3,191,4,25
2020년 09월 04일,0,0,54,0,0,1,1,3,44,0,1,3,2,3,191,4,24
2020년 09월 03일,0,0,54,0,0,1,1,3,42,0,1,3,2,3,191,4,24
2020년 09월 02일,0,0,54,0,0,1,1,3,41,0,1,2,2,3,191,3,24
2020년 09월 01일,0,0,54,0,0,1,1,3,40,0,1,2,2,3,191,3,23
2020년 08월 31일,0,0,54,0,0,1,1,3,40,0,1,2,2,3,191,3,23
2020년 08월 30일,0,0,54,0,0,1,1,3,40,0,1,2,2,3,191,3,22
2020년 08월 29일,0,0,54,0,0,1,1,3,40,0,1,2,2,3,191,3,20
2020년 08월 28일,0,0,54,0,0,1,1,3,36,0,1,2,2,3,191,3,19
2020년 08월 27일,0,0,54,0,0,1,1,3,35,0,1,2,2,3,191,3,17
2020년 08월 26일,0,0,54,0,0,1,1,3,34,0,1,2,2,3,191,3,17
2020년 08월 25일,0,0,54,0,0,1,1,3,33,0,1,2,2,3,191,3,16
2020년 08월 24일,0,0,54,0,0,1,0,3,33,0,1,2,2,3,191,3,16
2020년 08월 23일,0,0,54,0,0,1,0,3,33,0,1,2,2,3,191,3,16
2020년 08월 22일,0,0,54,0,0,1,0,3,33,0,1,2,2,3,191,3,16
2020년 08월 21일,0,0,54,0,0,1,0,3,33,0,1,2,2,3,191,3,16
2020년 08월 20일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,15
2020년 08월 19일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,14
2020년 08월 18일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,14
2020년 08월 17일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 16일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 15일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 14일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 13일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 12일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 11일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 10일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 09일,0,0,54,0,0,1,0,3,32,0,1,2,2,3,191,3,13
2020년 08월 08일,0,0,54,0,0,1,0,3,32,0,1,2,2,2,191,3,13
2020년 08월 07일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,13
2020년 08월 06일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,12
2020년 08월 05일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,12
2020년 08월 04일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,11
2020년 08월 03일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,11
2020년 08월 02일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,11
2020년 08월 01일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,11
2020년 07월 31일,0,0,54,0,0,1,0,3,31,0,1,2,2,2,191,3,11
2020년 07월 30일,0,0,54,0,0,1,0,3,30,0,1,2,2,2,191,3,11
2020년 07월 29일,0,0,54,0,0,1,0,3,30,0,1,2,2,2,191,3,11
2020년 07월 28일,0,0,54,0,0,1,0,3,30,0,1,2,2,2,191,3,11
2020년 07월 27일,0,0,54,0,0,1,0,3,29,0,1,2,2,2,191,3,11
2020년 07월 26일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,191,3,11
2020년 07월 25일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,191,3,11
2020년 07월 24일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,191,3,11
2020년 07월 23일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,190,3,11
2020년 07월 22일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,190,3,11
2020년 07월 21일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,190,3,10
2020년 07월 20일,0,0,54,0,0,0,0,3,29,0,1,2,2,2,190,3,10
2020년 07월 19일,0,0,54,0,0,0,0,3,29,0,1,2,1,2,190,3,10
2020년 07월 18일,0,0,54,0,0,0,0,3,29,0,1,2,1,2,190,3,9
2020년 07월 17일,0,0,54,0,0,0,0,3,29,0,1,2,1,2,189,3,9
2020년 07월 16일,0,0,54,0,0,0,0,3,28,0,1,2,0,2,189,3,9
2020년 07월 15일,0,0,54,0,0,0,0,3,26,0,1,2,0,2,189,3,9
2020년 07월 14일,0,0,54,0,0,0,0,3,26,0,1,2,0,2,189,3,9
2020년 07월 13일,0,0,54,0,0,0,0,3,26,0,1,2,0,2,189,3,9
2020년 07월 12일,0,0,54,0,0,0,0,3,26,0,1,2,0,2,189,3,9
2020년 07월 11일,0,0,54,0,0,0,0,3,25,0,1,2,0,2,189,3,9
2020년 07월 10일,0,0,54,0,0,0,0,3,25,0,1,2,0,2,189,3,9
2020년 07월 09일,0,0,54,0,0,0,0,3,25,0,1,2,0,1,189,3,9
2020년 07월 08일,0,0,54,0,0,0,0,3,24,0,1,2,0,1,189,3,8
2020년 07월 07일,0,0,54,0,0,0,0,3,24,0,1,2,0,1,189,3,8
2020년 07월 06일,0,0,54,0,0,0,0,3,23,0,1,2,0,1,189,3,8
2020년 07월 05일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,8
2020년 07월 04일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,8
2020년 07월 03일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 07월 02일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 07월 01일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 30일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 29일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 28일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 27일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 26일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 25일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,7
2020년 06월 24일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,6
2020년 06월 23일,0,0,54,0,0,0,0,3,23,0,1,1,0,1,189,3,6
2020년 06월 22일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,6
2020년 06월 21일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,6
2020년 06월 20일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,6
2020년 06월 19일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,6
2020년 06월 18일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,6
2020년 06월 17일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,5
2020년 06월 16일,0,0,54,0,0,0,0,3,22,0,1,1,0,1,189,3,4
2020년 06월 15일,0,0,54,0,0,0,0,3,22,0,1,1,0,0,189,3,4
2020년 06월 14일,0,0,54,0,0,0,0,3,22,0,1,1,0,0,189,3,4
2020년 06월 13일,0,0,54,0,0,0,0,3,22,0,1,1,0,0,189,3,4
2020년 06월 12일,0,0,54,0,0,0,0,3,22,0,1,1,0,0,189,3,4
2020년 06월 11일,0,0,54,0,0,0,0,3,22,0,1,1,0,0,188,3,4
2020년 06월 10일,0,0,54,0,0,0,0,3,22,0,1,1,0,0,188,3,4
2020년 06월 09일,0,0,54,0,0,0,0,3,20,0,1,1,0,0,188,3,4
2020년 06월 08일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,188,3,4
2020년 06월 07일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,188,3,4
2020년 06월 06일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,188,3,4
2020년 06월 05일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,188,3,4
2020년 06월 04일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,188,3,4
2020년 06월 03일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,188,3,4
2020년 06월 02일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,187,3,4
2020년 06월 01일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,186,3,4
2020년 05월 31일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,185,3,4
2020년 05월 30일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,184,3,4
2020년 05월 29일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,184,3,4
2020년 05월 28일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,184,3,4
2020년 05월 27일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,184,3,4
2020년 05월 26일,0,0,54,0,0,0,0,3,19,0,1,1,0,0,184,3,4
2020년 05월 25일,0,0,54,0,0,0,0,2,19,0,1,1,0,0,183,3,4
2020년 05월 24일,0,0,54,0,0,0,0,2,18,0,1,1,0,0,183,3,4
2020년 05월 23일,0,0,54,0,0,0,0,2,18,0,1,1,0,0,183,3,4
2020년 05월 22일,0,0,54,0,0,0,0,2,17,0,1,1,0,0,182,3,4
2020년 05월 21일,0,0,54,0,0,0,0,2,17,0,1,1,0,0,182,3,4
2020년 05월 20일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,182,3,4
2020년 05월 19일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,182,3,4
2020년 05월 18일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,182,3,4
2020년 05월 17일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,181,3,4
2020년 05월 16일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,181,3,4
2020년 05월 15일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,179,3,4
2020년 05월 14일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,179,3,4
2020년 05월 13일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,179,3,3
2020년 05월 12일,0,0,54,0,0,0,0,2,16,0,1,1,0,0,179,3,2
2020년 05월 11일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,178,3,2
2020년 05월 10일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,178,3,2
2020년 05월 09일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,178,3,2
2020년 05월 08일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,178,3,2
2020년 05월 07일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,178,3,2
2020년 05월 06일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,177,3,2
2020년 05월 05일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,176,3,2
2020년 05월 04일,0,0,53,0,0,0,0,2,16,0,1,1,0,0,174,3,2
2020년 05월 03일,0,0,52,0,0,0,0,2,16,0,1,0,0,0,174,3,2
2020년 05월 02일,0,0,52,0,0,0,0,2,16,0,1,0,0,0,174,3,2
2020년 05월 01일,0,0,52,0,0,0,0,2,16,0,1,0,0,0,172,3,2
2020년 04월 30일,0,0,52,0,0,0,0,2,15,0,1,0,0,0,172,3,2
2020년 04월 29일,0,0,52,0,0,0,0,2,15,0,1,0,0,0,171,3,2
2020년 04월 28일,0,0,52,0,0,0,0,2,14,0,1,0,0,0,170,3,2
2020년 04월 27일,0,0,52,0,0,0,0,2,14,0,1,0,0,0,169,3,2
2020년 04월 26일,0,0,52,0,0,0,0,2,14,0,1,0,0,0,168,3,2
2020년 04월 25일,0,0,52,0,0,0,0,2,14,0,1,0,0,0,166,3,2
2020년 04월 24일,0,0,52,0,0,0,0,2,14,0,1,0,0,0,166,3,2
2020년 04월 23일,0,0,52,0,0,0,0,2,14,0,1,0,0,0,166,3,2
