N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
64,현대제철,"42,900",150,+0.35%,"5,000","57,248","133,446",20.43,"397,067",6.57,-2.59,
65,금호석유,"185,500","2,000",+1.09%,"5,000","56,518","30,468",18.63,"419,000",3.32,20.18,
66,맥쿼리인프라,"13,950",50,-0.36%,0,"56,476","404,846",13.76,"1,001,127",N/A,N/A,
67,코웨이,"75,900",300,+0.40%,500,"56,014","73,800",60.20,"150,607",12.57,31.51,
68,일진머티리얼즈,"119,000",500,+0.42%,500,"54,872","46,111",12.49,"268,781",86.36,7.23,
69,현대건설,"47,800",350,+0.74%,"5,000","53,228","111,356",21.61,"700,170",31.78,1.84,
70,KODEX 200,"39,750",230,+0.58%,0,"53,026","133,400",9.11,"3,032,464",N/A,N/A,
71,강원랜드,"23,950",150,-0.62%,500,"51,239","213,940",18.83,"539,163",-155.52,-7.92,
72,삼성중공업,"5,800",30,+0.52%,"1,000","51,040","880,000",13.77,"2,349,869",-2.36,-33.06,
73,한국타이어앤테크놀로지,"39,650",450,-1.12%,500,"49,116","123,875",41.64,"304,501",7.44,5.12,
74,한국금융지주,"84,700",600,+0.71%,"5,000","47,200","55,726",34.84,"101,881",2.90,16.27,
75,현대중공업지주,"57,800",800,-1.37%,"1,000","45,658","78,993",16.66,"195,494",-13.40,-8.12,
76,유한양행,"64,700",600,+0.94%,"1,000","45,272","69,973",17.52,"178,545",46.92,11.06,
77,삼성엔지니어링,"22,700",150,-0.66%,"5,000","44,492","196,000",34.34,"645,165",12.56,17.32,
78,메리츠금융지주,"33,200",50,+0.15%,500,"44,492","134,011",7.67,"384,937",6.25,16.06,
79,삼성증권,"49,600",100,+0.20%,"5,000","44,293","89,300",29.67,"322,018",4.67,9.89,
80,이마트,"154,500","1,500",+0.98%,"5,000","43,068","27,876",33.37,"84,971",3.11,4.05,
81,오리온,"108,500","1,000",+0.93%,500,"42,897","39,536",37.59,"91,376",18.04,15.50,
82,한진칼,"63,000",0,0.00%,"2,500","42,045","66,739",14.57,"48,316",-71.75,-19.55,
83,DB손해보험,"57,600",300,+0.52%,500,"40,781","70,800",42.92,"66,501",5.12,9.08,
84,두산밥캣,"40,050",200,-0.50%,500,"40,150","100,249",25.59,"244,345",10.96,6.15,
85,NH투자증권,"13,300",0,0.00%,"5,000","39,506","297,034",17.65,"457,307",4.88,10.32,
86,삼성카드,"34,050",50,+0.15%,"5,000","39,450","115,859",7.48,"57,196",8.40,5.69,
87,쌍용C&E,"7,810",40,+0.51%,100,"39,351","503,860",3.15,"214,516",19.10,7.92,
88,메리츠화재,"32,150","1,350",+4.38%,500,"38,781","120,625",10.20,"249,185",6.67,16.91,
89,아모레G,"46,200",350,-0.75%,500,"38,096","82,458",16.04,"110,923",25.94,0.31,
